设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0350,2024-09-13 00:00:00,断路器,武侯110kV变电站,0.767,0.568,-25.88,0.905,0.704,-22.28,,,,,,,9201.667,9141.333,-0.66,,,,,,,0.49,0.468,-4.56
EQ-0026,2024-10-06 00:00:00,电容器组,龙华220kV变电站,0.758,0.683,-9.88,0.957,0.846,-11.6,,,,,,,,,,0.005,0.004,-9.61,,,,,,
EQ-0156,2024-09-13 00:00:00,断路器,苏州工业园220kV变电站,0.598,0.483,-19.2,0.764,0.614,-19.59,,,,,,,8377.0,8709.0,3.96,,,,,,,0.495,0.492,-0.47
EQ-0200,2024-09-14 00:00:00,GIS组合电器,杭州滨江110kV变电站,0.609,0.464,-23.8,0.764,0.56,-26.68,73.567,48.6,-33.94,90.1,63.6,-29.41,8186.333,8885.667,8.54,,,,13.333,10.033,-24.75,0.481,0.462,-3.95
EQ-0132,2024-10-04 00:00:00,断路器,临港110kV变电站,0.738,0.656,-11.02,0.9,0.796,-11.51,,,,,,,9863.667,9268.333,-6.04,,,,,,,0.449,0.504,12.09
EQ-0431,2024-09-14 00:00:00,断路器,大连开发区35kV变电站,0.856,0.643,-24.91,1.017,0.807,-20.66,,,,,,,7711.667,7949.0,3.08,,,,,,,0.504,0.468,-7.21
EQ-0007,2024-09-26 00:00:00,断路器,龙华220kV变电站,0.723,0.557,-22.92,0.93,0.669,-28.08,,,,,,,9561.667,9470.667,-0.95,,,,,,,0.519,0.484,-6.81
EQ-0052,2024-10-06 00:00:00,隔离开关,松山湖220kV变电站,0.717,0.564,-21.38,0.934,0.735,-21.24,,,,,,,,,,,,,,,,,,
EQ-0082,2024-09-14 00:00:00,避雷器,南沙110kV变电站,0.85,0.682,-19.74,1.033,0.87,-15.8,,,,,,,,,,,,,,,,,,
EQ-0101,2024-09-14 00:00:00,避雷器,前海110kV变电站,0.671,0.486,-27.6,0.864,0.595,-31.15,,,,,,,,,,,,,,,,,,
EQ-0002,2024-09-14 00:00:00,电力变压器,龙华220kV变电站,0.738,0.539,-27.0,0.949,0.704,-25.83,78.633,55.333,-29.63,97.667,72.733,-25.53,9087.333,9547.667,5.07,0.004,0.003,-20.98,8.0,9.867,23.33,,,
EQ-0282,2024-09-14 00:00:00,电力变压器,石家庄高新35kV变电站,0.867,0.651,-24.93,1.018,0.856,-15.95,74.133,51.967,-29.9,96.033,69.667,-27.46,7541.333,8842.333,17.25,0.005,0.005,-6.35,9.233,10.033,8.66,,,
EQ-0211,2024-09-14 00:00:00,电容器组,昆山35kV变电站,0.675,0.535,-20.75,0.861,0.68,-21.04,,,,,,,,,,0.006,0.007,18.23,,,,,,
EQ-0374,2024-09-14 00:00:00,断路器,重庆两江220kV变电站,0.862,0.644,-25.3,1.058,0.819,-22.57,,,,,,,8842.333,9461.667,7.0,,,,,,,0.448,0.488,8.93
EQ-0166,2024-09-14 00:00:00,隔离开关,苏州工业园220kV变电站,0.662,0.486,-26.56,0.775,0.57,-26.43,,,,,,,,,,,,,,,,,,
EQ-0328,2024-09-14 00:00:00,电力变压器,长沙星沙110kV变电站,0.813,0.61,-25.06,1.03,0.753,-26.93,78.0,52.5,-32.69,99.4,69.967,-29.61,9313.333,10045.667,7.86,0.004,0.004,8.84,7.7,9.667,25.54,,,
EQ-0075,2024-09-14 00:00:00,断路器,南沙110kV变电站,0.666,0.571,-14.22,0.799,0.719,-10.03,,,,,,,9949.333,10298.667,3.51,,,,,,,0.484,0.47,-2.96
EQ-0403,2024-09-14 00:00:00,电容器组,成都高新35kV变电站,0.61,0.487,-20.1,0.774,0.624,-19.44,,,,,,,,,,0.005,0.004,-4.73,,,,,,
EQ-0310,2024-09-14 00:00:00,避雷器,武昌110kV变电站,0.63,0.471,-25.21,0.77,0.581,-24.46,,,,,,,,,,,,,,,,,,
EQ-0177,2024-09-15 00:00:00,避雷器,苏州工业园220kV变电站,0.681,0.559,-17.9,0.804,0.699,-13.16,,,,,,,,,,,,,,,,,,
EQ-0090,2024-10-04 00:00:00,断路器,前海110kV变电站,0.696,0.639,-8.19,0.874,0.779,-10.84,,,,,,,9022.333,9823.0,8.87,,,,,,,0.492,0.493,0.2
EQ-0036,2024-09-15 00:00:00,GIS组合电器,龙华220kV变电站,0.823,0.618,-24.98,1.017,0.768,-24.47,84.533,59.0,-30.21,105.867,76.8,-27.46,8587.667,8171.0,-4.85,,,,10.767,12.767,18.58,0.477,0.495,3.63
EQ-0136,2024-09-15 00:00:00,断路器,临港110kV变电站,0.706,0.524,-25.75,0.86,0.663,-22.95,,,,,,,7932.667,11617.0,46.45,,,,,,,0.489,0.464,-5.11
EQ-0201,2024-09-15 00:00:00,电力变压器,昆山35kV变电站,0.695,0.568,-18.32,0.847,0.695,-17.97,75.7,56.2,-25.76,96.5,73.467,-23.87,8202.333,5941.667,-27.56,0.005,0.005,-0.28,16.0,16.4,2.5,,,
EQ-0323,2024-09-15 00:00:00,电容器组,江夏35kV变电站,0.798,0.597,-25.17,0.966,0.752,-22.11,,,,,,,,,,0.006,0.006,-0.53,,,,,,
EQ-0043,2024-09-15 00:00:00,断路器,松山湖220kV变电站,0.628,0.493,-21.54,0.783,0.612,-21.86,,,,,,,9465.667,11078.667,17.04,,,,,,,0.498,0.532,6.76
EQ-0030,2024-09-15 00:00:00,避雷器,龙华220kV变电站,0.793,0.609,-23.14,0.949,0.78,-17.77,,,,,,,,,,,,,,,,,,
EQ-0422,2024-10-06 00:00:00,避雷器,沈阳浑南110kV变电站,0.727,0.672,-7.54,0.895,0.88,-1.72,,,,,,,,,,,,,,,,,,
EQ-0325,2024-09-15 00:00:00,避雷器,江夏35kV变电站,0.58,0.483,-16.69,0.698,0.588,-15.75,,,,,,,,,,,,,,,,,,
EQ-0246,2024-09-15 00:00:00,隔离开关,通州35kV变电站,0.808,0.633,-21.71,0.977,0.768,-21.4,,,,,,,,,,,,,,,,,,
EQ-0258,2024-09-18 00:00:00,断路器,天津滨海220kV变电站,0.756,0.527,-30.24,0.956,0.635,-33.62,,,,,,,10775.0,10741.667,-0.31,,,,,,,0.524,0.497,-5.22
EQ-0247,2024-09-15 00:00:00,电容器组,通州35kV变电站,0.781,0.605,-22.58,0.953,0.774,-18.83,,,,,,,,,,0.005,0.005,8.4,,,,,,
EQ-0160,2024-09-15 00:00:00,断路器,苏州工业园220kV变电站,0.679,0.497,-26.89,0.846,0.622,-26.51,,,,,,,7357.333,10179.0,38.35,,,,,,,0.458,0.501,9.46
EQ-0099,2024-09-15 00:00:00,电容器组,前海110kV变电站,0.809,0.589,-27.29,1.017,0.712,-30.02,,,,,,,,,,0.004,0.005,20.03,,,,,,
EQ-0307,2024-09-16 00:00:00,电容器组,武昌110kV变电站,0.698,0.523,-25.0,0.856,0.666,-22.16,,,,,,,,,,0.006,0.005,-10.68,,,,,,
EQ-0327,2024-09-16 00:00:00,电力变压器,长沙星沙110kV变电站,0.658,0.519,-21.06,0.795,0.662,-16.68,73.2,49.4,-32.51,91.6,63.3,-30.9,10831.333,8979.0,-17.1,0.003,0.004,28.57,12.167,10.733,-11.78,,,
EQ-0244,2024-09-16 00:00:00,隔离开关,通州35kV变电站,0.834,0.639,-23.38,1.003,0.751,-25.15,,,,,,,,,,,,,,,,,,
EQ-0168,2024-09-16 00:00:00,隔离开关,苏州工业园220kV变电站,0.872,0.642,-26.4,1.086,0.803,-26.01,,,,,,,,,,,,,,,,,,
EQ-0049,2024-09-16 00:00:00,断路器,松山湖220kV变电站,0.71,0.557,-21.58,0.943,0.688,-26.98,,,,,,,8429.0,8562.667,1.59,,,,,,,0.493,0.498,1.01
EQ-0306,2024-09-16 00:00:00,隔离开关,武昌110kV变电站,0.686,0.534,-22.15,0.826,0.693,-16.05,,,,,,,,,,,,,,,,,,
EQ-0381,2024-09-16 00:00:00,隔离开关,重庆两江220kV变电站,0.808,0.629,-22.13,0.976,0.776,-20.51,,,,,,,,,,,,,,,,,,
EQ-0110,2024-09-10 00:00:00,断路器,张江110kV变电站,0.693,0.517,-25.39,0.888,0.622,-29.91,,,,,,,8490.333,9140.667,7.66,,,,,,,0.465,0.48,3.15
EQ-0274,2024-10-09 00:00:00,避雷器,天津滨海220kV变电站,0.772,0.679,-11.98,0.9,0.848,-5.72,,,,,,,,,,,,,,,,,,
EQ-0295,2024-09-15 00:00:00,电力变压器,武昌110kV变电站,0.763,0.597,-21.69,0.933,0.758,-18.77,72.367,53.433,-26.16,91.4,70.733,-22.61,8293.0,8360.667,0.82,0.005,0.005,1.59,12.0,13.533,12.78,,,
EQ-0129,2024-09-16 00:00:00,电力变压器,临港110kV变电站,0.611,0.488,-20.06,0.733,0.624,-14.82,74.067,51.6,-30.33,91.2,65.733,-27.92,12195.333,11483.333,-5.84,0.002,0.003,20.0,5.367,7.9,47.2,,,
EQ-0046,2024-09-16 00:00:00,断路器,松山湖220kV变电站,0.78,0.616,-21.0,0.996,0.732,-26.46,,,,,,,9201.333,8818.333,-4.16,,,,,,,0.48,0.502,4.51
EQ-0385,2024-09-22 00:00:00,电容器组,重庆两江220kV变电站,0.664,0.548,-17.54,0.832,0.694,-16.58,,,,,,,,,,0.006,0.005,-18.31,,,,,,
EQ-0112,2024-09-16 00:00:00,断路器,张江110kV变电站,0.732,0.549,-24.98,0.894,0.693,-22.49,,,,,,,7485.333,10598.667,41.59,,,,,,,0.477,0.466,-2.38
EQ-0065,2024-09-16 00:00:00,GIS组合电器,松山湖220kV变电站,0.738,0.56,-24.06,0.918,0.705,-23.23,80.3,59.867,-25.45,97.867,73.4,-25.0,9179.0,7429.0,-19.07,,,,9.667,6.8,-29.66,0.475,0.483,1.75
EQ-0092,2024-09-17 00:00:00,断路器,前海110kV变电站,0.696,0.532,-23.47,0.889,0.656,-26.15,,,,,,,10526.0,10495.667,-0.29,,,,,,,0.48,0.533,10.96
EQ-0308,2024-09-17 00:00:00,电容器组,武昌110kV变电站,0.742,0.569,-23.37,0.955,0.726,-24.02,,,,,,,,,,0.005,0.004,-13.67,,,,,,
EQ-0062,2024-09-17 00:00:00,避雷器,松山湖220kV变电站,0.693,0.494,-28.72,0.838,0.608,-27.51,,,,,,,,,,,,,,,,,,
EQ-0415,2024-10-16 00:00:00,断路器,沈阳浑南110kV变电站,0.57,0.498,-12.65,0.68,0.63,-7.41,,,,,,,10031.667,8363.667,-16.63,,,,,,,0.489,0.504,3.07
EQ-0074,2024-09-17 00:00:00,断路器,南沙110kV变电站,0.838,0.638,-23.89,1.023,0.775,-24.29,,,,,,,10823.333,10224.0,-5.54,,,,,,,0.493,0.491,-0.34
EQ-0215,2024-09-17 00:00:00,电力变压器,亦庄110kV变电站,0.701,0.519,-26.0,0.839,0.663,-20.94,71.967,47.0,-34.69,92.467,64.633,-30.1,8514.667,9428.667,10.73,0.006,0.004,-29.02,8.267,11.533,39.52,,,
EQ-0371,2024-09-17 00:00:00,断路器,重庆两江220kV变电站,0.681,0.55,-19.29,0.834,0.694,-16.76,,,,,,,7354.333,7909.0,7.54,,,,,,,0.456,0.506,11.12
EQ-0259,2024-09-17 00:00:00,断路器,天津滨海220kV变电站,0.608,0.481,-20.88,0.777,0.617,-20.66,,,,,,,9419.667,8886.0,-5.67,,,,,,,0.478,0.456,-4.6
EQ-0121,2024-09-17 00:00:00,电容器组,张江110kV变电站,0.834,0.649,-22.18,1.012,0.798,-21.22,,,,,,,,,,0.005,0.003,-29.9,,,,,,
EQ-0189,2024-09-29 00:00:00,断路器,杭州滨江110kV变电站,0.697,0.579,-16.91,0.88,0.71,-19.35,,,,,,,7300.0,9532.333,30.58,,,,,,,0.504,0.486,-3.64
EQ-0153,2024-10-14 00:00:00,断路器,苏州工业园220kV变电站,0.561,0.499,-10.99,0.676,0.594,-12.06,,,,,,,7895.333,7291.0,-7.65,,,,,,,0.477,0.472,-0.91
EQ-0114,2024-09-24 00:00:00,断路器,张江110kV变电站,0.863,0.685,-20.6,1.041,0.893,-14.19,,,,,,,8801.333,10079.0,14.52,,,,,,,0.5,0.479,-4.33
EQ-0180,2024-09-17 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.632,0.456,-27.87,0.797,0.57,-28.46,75.467,48.833,-35.29,91.4,64.933,-28.96,7968.333,8840.0,10.94,,,,11.567,10.533,-8.93,0.482,0.506,5.12
EQ-0413,2024-09-18 00:00:00,断路器,沈阳浑南110kV变电站,0.751,0.551,-26.65,0.946,0.671,-29.1,,,,,,,8388.667,6924.333,-17.46,,,,,,,0.473,0.503,6.41
EQ-0198,2024-09-18 00:00:00,避雷器,杭州滨江110kV变电站,0.839,0.628,-25.17,0.988,0.79,-20.01,,,,,,,,,,,,,,,,,,
EQ-0137,2024-09-18 00:00:00,隔离开关,临港110kV变电站,0.658,0.526,-20.02,0.802,0.655,-18.34,,,,,,,,,,,,,,,,,,
EQ-0179,2024-09-18 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.805,0.615,-23.58,0.98,0.761,-22.34,80.767,49.967,-38.13,101.4,71.4,-29.59,8292.667,7425.667,-10.46,,,,8.6,12.967,50.78,0.52,0.477,-8.27
EQ-0398,2024-09-27 00:00:00,断路器,成都高新35kV变电站,0.783,0.592,-24.36,0.991,0.715,-27.89,,,,,,,9742.667,8892.333,-8.73,,,,,,,0.48,0.498,3.89
EQ-0098,2024-09-18 00:00:00,隔离开关,前海110kV变电站,0.706,0.551,-21.93,0.93,0.647,-30.42,,,,,,,,,,,,,,,,,,
EQ-0324,2024-09-18 00:00:00,避雷器,江夏35kV变电站,0.83,0.614,-26.04,1.011,0.777,-23.14,,,,,,,,,,,,,,,,,,
EQ-0416,2024-09-18 00:00:00,隔离开关,沈阳浑南110kV变电站,0.874,0.683,-21.88,1.037,0.834,-19.51,,,,,,,,,,,,,,,,,,
EQ-0216,2024-09-18 00:00:00,电力变压器,亦庄110kV变电站,0.875,0.678,-22.55,1.013,0.852,-15.94,74.233,53.3,-28.2,94.167,73.7,-21.73,9413.333,8935.0,-5.08,0.005,0.005,-0.91,8.3,3.567,-57.03,,,
EQ-0212,2024-09-18 00:00:00,避雷器,昆山35kV变电站,0.72,0.597,-17.05,0.902,0.727,-19.39,,,,,,,,,,,,,,,,,,
EQ-0341,2024-09-18 00:00:00,避雷器,长沙星沙110kV变电站,0.699,0.535,-23.37,0.861,0.632,-26.56,,,,,,,,,,,,,,,,,,
EQ-0236,2024-09-18 00:00:00,GIS组合电器,亦庄110kV变电站,0.785,0.583,-25.73,1.008,0.712,-29.35,72.6,50.833,-29.98,93.933,66.2,-29.52,9622.0,9090.333,-5.53,,,,11.867,11.533,-2.81,0.519,0.484,-6.68
EQ-0365,2024-09-18 00:00:00,电力变压器,重庆两江220kV变电站,0.882,0.631,-28.48,1.043,0.793,-23.97,81.1,55.233,-31.89,101.933,73.433,-27.96,8750.0,9075.667,3.72,0.005,0.004,-24.56,14.0,9.767,-30.24,,,
EQ-0039,2024-09-27 00:00:00,电力变压器,松山湖220kV变电站,0.862,0.645,-25.09,1.019,0.831,-18.43,84.733,57.567,-32.06,105.033,73.333,-30.18,10239.667,8653.333,-15.49,0.004,0.004,1.42,11.633,6.433,-44.7,,,
EQ-0050,2024-09-18 00:00:00,断路器,松山湖220kV变电站,0.687,0.548,-20.18,0.84,0.7,-16.61,,,,,,,10041.667,7314.667,-27.16,,,,,,,0.47,0.464,-1.21
EQ-0375,2024-09-19 00:00:00,断路器,重庆两江220kV变电站,0.819,0.64,-21.86,1.005,0.777,-22.75,,,,,,,9820.333,10539.0,7.32,,,,,,,0.468,0.495,5.84
EQ-0277,2024-09-19 00:00:00,避雷器,天津滨海220kV变电站,0.718,0.524,-27.01,0.878,0.669,-23.82,,,,,,,,,,,,,,,,,,
EQ-0360,2024-09-19 00:00:00,避雷器,武侯110kV变电站,0.838,0.646,-22.9,1.007,0.816,-18.98,,,,,,,,,,,,,,,,,,
EQ-0394,2024-09-19 00:00:00,GIS组合电器,重庆两江220kV变电站,0.869,0.635,-26.93,1.011,0.793,-21.56,73.333,53.467,-27.09,96.367,70.767,-26.57,7091.333,9883.667,39.38,,,,8.2,13.1,59.76,0.463,0.508,9.65
EQ-0064,2024-09-19 00:00:00,避雷器,松山湖220kV变电站,0.848,0.654,-22.88,1.037,0.826,-20.4,,,,,,,,,,,,,,,,,,
EQ-0053,2024-09-19 00:00:00,隔离开关,松山湖220kV变电站,0.667,0.495,-25.77,0.882,0.625,-29.18,,,,,,,,,,,,,,,,,,
EQ-0081,2024-09-19 00:00:00,电容器组,南沙110kV变电站,0.757,0.604,-20.18,0.941,0.75,-20.37,,,,,,,,,,0.004,0.003,-28.47,,,,,,
EQ-0167,2024-10-13 00:00:00,隔离开关,苏州工业园220kV变电站,0.782,0.7,-10.51,0.961,0.872,-9.23,,,,,,,,,,,,,,,,,,
EQ-0255,2024-09-19 00:00:00,电力变压器,天津滨海220kV变电站,0.838,0.61,-27.24,1.022,0.755,-26.13,77.133,50.067,-35.09,98.133,68.067,-30.64,7127.333,9838.333,38.04,0.005,0.004,-7.29,9.4,8.733,-7.09,,,
EQ-0344,2024-09-19 00:00:00,避雷器,长沙星沙110kV变电站,0.8,0.644,-19.43,0.992,0.782,-21.17,,,,,,,,,,,,,,,,,,
EQ-0355,2024-09-19 00:00:00,隔离开关,武侯110kV变电站,0.762,0.541,-28.98,0.902,0.663,-26.54,,,,,,,,,,,,,,,,,,
EQ-0011,2024-09-19 00:00:00,断路器,龙华220kV变电站,0.645,0.453,-29.74,0.795,0.556,-30.03,,,,,,,8088.333,8739.0,8.04,,,,,,,0.457,0.496,8.38
EQ-0411,2024-10-09 00:00:00,断路器,沈阳浑南110kV变电站,0.763,0.679,-11.04,0.885,0.839,-5.19,,,,,,,8140.667,9102.667,11.82,,,,,,,0.438,0.498,13.54
EQ-0430,2024-09-30 00:00:00,断路器,大连开发区35kV变电站,0.771,0.582,-24.52,1.015,0.753,-25.81,,,,,,,8495.667,9795.0,15.29,,,,,,,0.481,0.496,3.26
EQ-0063,2024-10-06 00:00:00,避雷器,松山湖220kV变电站,0.643,0.548,-14.86,0.842,0.694,-17.54,,,,,,,,,,,,,,,,,,
EQ-0414,2024-09-19 00:00:00,断路器,沈阳浑南110kV变电站,0.754,0.56,-25.79,0.9,0.718,-20.2,,,,,,,7340.0,8848.0,20.54,,,,,,,0.465,0.489,5.09
EQ-0353,2024-09-19 00:00:00,断路器,武侯110kV变电站,0.798,0.6,-24.75,0.985,0.748,-24.09,,,,,,,8518.0,11957.0,40.37,,,,,,,0.497,0.514,3.49
EQ-0197,2024-09-19 00:00:00,避雷器,杭州滨江110kV变电站,0.633,0.526,-16.85,0.823,0.652,-20.75,,,,,,,,,,,,,,,,,,
EQ-0093,2024-09-19 00:00:00,断路器,前海110kV变电站,0.744,0.558,-25.02,0.925,0.696,-24.76,,,,,,,11544.333,10765.0,-6.75,,,,,,,0.519,0.518,-0.32
EQ-0024,2024-09-19 00:00:00,电容器组,龙华220kV变电站,0.669,0.517,-22.68,0.825,0.645,-21.76,,,,,,,,,,0.006,0.005,-11.82,,,,,,
EQ-0128,2024-09-19 00:00:00,GIS组合电器,张江110kV变电站,0.784,0.569,-27.41,0.986,0.711,-27.91,81.6,53.733,-34.15,101.467,71.3,-29.73,10137.333,9719.0,-4.13,,,,8.7,11.233,29.12,0.495,0.492,-0.61
EQ-0095,2024-10-12 00:00:00,隔离开关,前海110kV变电站,0.678,0.62,-8.54,0.869,0.809,-6.98,,,,,,,,,,,,,,,,,,
EQ-0423,2024-10-01 00:00:00,避雷器,沈阳浑南110kV变电站,0.698,0.544,-21.94,0.868,0.688,-20.76,,,,,,,,,,,,,,,,,,
EQ-0138,2024-09-20 00:00:00,隔离开关,临港110kV变电站,0.722,0.502,-30.49,0.857,0.623,-27.35,,,,,,,,,,,,,,,,,,
EQ-0273,2024-09-20 00:00:00,避雷器,天津滨海220kV变电站,0.877,0.633,-27.85,1.034,0.822,-20.45,,,,,,,,,,,,,,,,,,
EQ-0354,2024-09-20 00:00:00,隔离开关,武侯110kV变电站,0.712,0.493,-30.72,0.903,0.617,-31.7,,,,,,,,,,,,,,,,,,
EQ-0303,2024-09-20 00:00:00,隔离开关,武昌110kV变电站,0.753,0.548,-27.2,0.959,0.669,-30.22,,,,,,,,,,,,,,,,,,
EQ-0357,2024-09-20 00:00:00,隔离开关,武侯110kV变电站,0.747,0.583,-21.9,0.917,0.716,-21.95,,,,,,,,,,,,,,,,,,
EQ-0396,2024-09-20 00:00:00,电力变压器,成都高新35kV变电站,0.683,0.526,-22.99,0.839,0.642,-23.52,73.267,49.333,-32.67,87.867,65.767,-25.15,9196.333,11099.0,20.69,0.004,0.004,-6.11,7.767,7.8,0.43,,,
EQ-0126,2024-09-20 00:00:00,避雷器,张江110kV变电站,0.766,0.59,-22.87,0.978,0.771,-21.18,,,,,,,,,,,,,,,,,,
EQ-0356,2024-10-10 00:00:00,隔离开关,武侯110kV变电站,0.59,0.555,-5.85,0.735,0.72,-2.07,,,,,,,,,,,,,,,,,,
EQ-0256,2024-09-21 00:00:00,断路器,天津滨海220kV变电站,0.65,0.476,-26.85,0.792,0.604,-23.7,,,,,,,8494.0,8754.667,3.07,,,,,,,0.464,0.447,-3.52
EQ-0346,2024-09-21 00:00:00,电力变压器,武侯110kV变电站,0.712,0.538,-24.37,0.898,0.671,-25.28,76.133,51.5,-32.36,93.4,68.933,-26.2,8862.667,7316.667,-17.44,0.005,0.005,5.91,7.333,8.667,18.18,,,
EQ-0242,2024-09-30 00:00:00,断路器,通州35kV变电站,0.875,0.669,-23.5,1.048,0.829,-20.94,,,,,,,9456.0,8299.0,-12.24,,,,,,,0.498,0.47,-5.63
EQ-0040,2024-09-21 00:00:00,电力变压器,松山湖220kV变电站,0.864,0.628,-27.38,1.038,0.799,-23.06,85.567,58.0,-32.22,105.233,75.167,-28.57,8617.333,8158.0,-5.33,0.004,0.004,1.04,10.9,12.933,18.65,,,
EQ-0038,2024-10-12 00:00:00,GIS组合电器,龙华220kV变电站,0.67,0.594,-11.34,0.832,0.747,-10.16,75.2,52.367,-30.36,93.0,68.167,-26.7,7298.667,8825.667,20.92,,,,15.3,15.9,3.92,0.489,0.49,0.14
EQ-0055,2024-09-21 00:00:00,隔离开关,松山湖220kV变电站,0.755,0.526,-30.34,0.89,0.684,-23.07,,,,,,,,,,,,,,,,,,
EQ-0345,2024-09-20 00:00:00,GIS组合电器,长沙星沙110kV变电站,0.744,0.613,-17.69,0.984,0.775,-21.27,75.033,51.933,-30.79,95.267,68.133,-28.48,9398.333,11013.333,17.18,,,,5.3,9.0,69.81,0.456,0.467,2.49
EQ-0401,2024-09-21 00:00:00,隔离开关,成都高新35kV变电站,0.78,0.577,-26.03,0.958,0.708,-26.11,,,,,,,,,,,,,,,,,,
EQ-0174,2024-09-21 00:00:00,避雷器,苏州工业园220kV变电站,0.707,0.529,-25.15,0.886,0.652,-26.43,,,,,,,,,,,,,,,,,,
EQ-0176,2024-09-21 00:00:00,避雷器,苏州工业园220kV变电站,0.807,0.615,-23.77,1.015,0.748,-26.31,,,,,,,,,,,,,,,,,,
EQ-0203,2024-09-21 00:00:00,断路器,昆山35kV变电站,0.688,0.532,-22.66,0.893,0.643,-27.98,,,,,,,8155.0,7859.333,-3.63,,,,,,,0.465,0.5,7.68
EQ-0022,2024-09-19 00:00:00,隔离开关,龙华220kV变电站,0.748,0.55,-26.43,0.908,0.696,-23.34,,,,,,,,,,,,,,,,,,
EQ-0438,2024-09-22 00:00:00,避雷器,大连开发区35kV变电站,0.725,0.59,-18.58,0.889,0.719,-19.07,,,,,,,,,,,,,,,,,,
EQ-0248,2024-09-22 00:00:00,电容器组,通州35kV变电站,0.632,0.483,-23.59,0.843,0.613,-27.32,,,,,,,,,,0.006,0.004,-37.2,,,,,,
EQ-0348,2024-09-22 00:00:00,电力变压器,武侯110kV变电站,0.612,0.51,-16.63,0.768,0.621,-19.18,69.967,52.3,-25.25,87.3,67.633,-22.53,7870.0,9443.333,19.99,0.005,0.004,-9.76,7.867,5.5,-30.08,,,
EQ-0270,2024-10-08 00:00:00,电容器组,天津滨海220kV变电站,0.658,0.604,-8.12,0.843,0.792,-6.08,,,,,,,,,,0.004,0.006,46.65,,,,,,
EQ-0015,2024-09-22 00:00:00,断路器,龙华220kV变电站,0.617,0.486,-21.23,0.738,0.6,-18.62,,,,,,,6846.667,7882.0,15.12,,,,,,,0.509,0.461,-9.37
EQ-0391,2024-09-22 00:00:00,避雷器,重庆两江220kV变电站,0.662,0.498,-24.86,0.881,0.614,-30.36,,,,,,,,,,,,,,,,,,
EQ-0205,2024-10-10 00:00:00,断路器,昆山35kV变电站,0.586,0.508,-13.29,0.723,0.654,-9.53,,,,,,,6312.333,7884.333,24.9,,,,,,,0.475,0.487,2.46
EQ-0322,2024-09-22 00:00:00,电容器组,江夏35kV变电站,0.635,0.514,-18.98,0.833,0.613,-26.45,,,,,,,,,,0.006,0.004,-25.54,,,,,,
EQ-0288,2024-09-22 00:00:00,隔离开关,石家庄高新35kV变电站,0.714,0.547,-23.49,0.916,0.681,-25.64,,,,,,,,,,,,,,,,,,
EQ-0084,2024-09-22 00:00:00,避雷器,南沙110kV变电站,0.875,0.628,-28.18,1.012,0.795,-21.4,,,,,,,,,,,,,,,,,,
EQ-0117,2024-09-22 00:00:00,隔离开关,张江110kV变电站,0.795,0.608,-23.53,0.969,0.783,-19.21,,,,,,,,,,,,,,,,,,
EQ-0276,2024-09-22 00:00:00,避雷器,天津滨海220kV变电站,0.677,0.562,-16.98,0.842,0.691,-17.9,,,,,,,,,,,,,,,,,,
EQ-0268,2024-09-22 00:00:00,隔离开关,天津滨海220kV变电站,0.803,0.624,-22.32,1.018,0.803,-21.13,,,,,,,,,,,,,,,,,,
EQ-0260,2024-09-23 00:00:00,断路器,天津滨海220kV变电站,0.801,0.639,-20.23,1.031,0.828,-19.69,,,,,,,8191.0,7797.667,-4.8,,,,,,,0.475,0.481,1.26
EQ-0335,2024-10-16 00:00:00,隔离开关,长沙星沙110kV变电站,0.683,0.618,-9.49,0.894,0.802,-10.3,,,,,,,,,,,,,,,,,,
EQ-0227,2024-09-21 00:00:00,隔离开关,亦庄110kV变电站,0.887,0.689,-22.38,1.038,0.866,-16.58,,,,,,,,,,,,,,,,,,
EQ-0066,2024-09-23 00:00:00,GIS组合电器,松山湖220kV变电站,0.61,0.464,-23.87,0.776,0.574,-25.99,74.833,53.333,-28.73,92.133,70.267,-23.73,9412.333,9515.333,1.09,,,,8.733,6.9,-20.99,0.513,0.488,-4.81
EQ-0134,2024-09-23 00:00:00,断路器,临港110kV变电站,0.663,0.532,-19.76,0.848,0.678,-20.08,,,,,,,8755.667,9841.0,12.4,,,,,,,0.485,0.497,2.34
EQ-0108,2024-09-23 00:00:00,电力变压器,张江110kV变电站,0.814,0.653,-19.76,1.015,0.802,-20.99,82.6,55.633,-32.65,103.367,76.133,-26.35,9519.333,9271.0,-2.61,0.005,0.006,16.32,7.567,10.767,42.29,,,
